trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
330,False,"{'a': 0.01, 'e': 0.03688316740124}",20,9,15.121692465994201,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.03651617375374041}",25,17,14.096948986467298,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",35,17,29.06322407895378,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.01, 'e': 0.035793105067655304}",25,16,17.10196075594082,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159865}",30,15,23.204933537553067,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.03508435410084503}",30,18,15.366526530069304,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473857}",20,0,31.306057700226035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
337,False,"{'a': 0.01, 'e': 0.034389637343472716}",30,12,25.97890744214924,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.03404745473459935}",20,16,8.355371378963625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.0337086768995724}",20,10,14.79673260666577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.01, 'e': 0.03337326996032609}",25,6,31.587959328172374,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588694}",20,9,16.63714505699033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",30,12,34.940597498180225,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",20,7,21.666128749939805,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.032064685327860776}",20,12,15.284712224374568,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.01, 'e': 0.031745636378067946}",20,12,17.612070001229256,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836772}",20,2,28.616290412609153,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.01, 'e': 0.031117030661060866}",20,16,8.307393182968731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.030807411032751083}",20,14,10.382859618037838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.01, 'e': 0.030500872171217486}",25,5,34.21080671346228,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.01, 'e': 0.030197383422318508}",20,10,17.3847565738504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029896914436926315}",20,16,7.473715402482342,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.01, 'e': 0.029599435167892006}",25,20,12.781672472222226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.01, 'e': 0.029304915867040753}",20,14,9.397485303539076,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.01, 'e': 0.02901332708219706}",25,0,24.07741764007824,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
355,False,"{'a': 0.01, 'e': 0.028724639654239426}",30,7,35.18492289723659,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.01, 'e': 0.02843882471418451}",20,16,8.347830459351702,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.01, 'e': 0.0281558536803001}",20,0,27.062566903943036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.01, 'e': 0.027875698255247022}",20,0,22.97087791642501,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,False,"{'a': 0.01, 'e': 0.027598330423249294}",20,16,7.360623059838155,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.01, 'e': 0.027323722447292562}",20,12,16.74204064448759,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.01, 'e': 0.02705184686635042}",25,11,8.44029148512721,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'a': 0.01, 'e': 0.02678267649263818}",30,14,18.489707080508005,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
363,False,"{'a': 0.01, 'e': 0.026516184408894188}",30,17,16.347966320476168,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
364,False,"{'a': 0.01, 'e': 0.026252343965687965}",30,15,23.359890904956668,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.01, 'e': 0.02599112877875535}",20,12,11.958578550174582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.01, 'e': 0.025732512726359947}",25,3,34.09156261003564,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.01, 'e': 0.025476469946681023}",25,0,29.686965419198074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
368,False,"{'a': 0.01, 'e': 0.025222974835227216}",25,19,12.572845764006425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.01, 'e': 0.02497200204227616}",25,8,27.59036523222677,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.01, 'e': 0.02472352647033939}",20,0,28.977969935288797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
371,False,"{'a': 0.01, 'e': 0.024477523271652677}",20,14,10.145199000156303,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.01, 'e': 0.024233967845691116}",30,19,21.86739034030069,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.01, 'e': 0.02399283583670918}",30,18,14.514635899414579,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.01, 'e': 0.023754103131305}",20,9,18.688771830189552,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.01, 'e': 0.023517745856009114}",20,0,23.994840845313213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
376,False,"{'a': 0.01, 'e': 0.023283740374897003}",25,17,12.179729604799066,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.01, 'e': 0.023052063287225574}",35,25,18.799540363262366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.01, 'e': 0.022822691425092974}",20,3,23.687035865386683,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.01, 'e': 0.022595601851121867}",25,15,-4.444680912148814,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
380,False,"{'a': 0.01, 'e': 0.022370771856165594}",25,4,28.300124934424126,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.01, 'e': 0.02214817895703732}",30,12,27.278297176275387,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.01, 'e': 0.021927800894261613}",20,12,16.180220085941848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.01, 'e': 0.021709615629848574}",20,8,20.641880567245718,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.01, 'e': 0.021493601345089926}",20,0,29.58551504018628,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
385,False,"{'a': 0.01, 'e': 0.021279736438377172}",20,13,13.52575522826116,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.01, 'e': 0.021067999523041437}",30,11,33.147991900534564,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.01, 'e': 0.020858369425214723}",25,19,12.579555145249786,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.01, 'e': 0.02065082518171257}",25,18,12.402792352744395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.01, 'e': 0.02044534603793766}",20,0,25.6727306690066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
390,False,"{'a': 0.01, 'e': 0.020241911445804395}",25,7,29.010413275947478,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.01, 'e': 0.020040501061684018}",30,0,39.486073099937656,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
392,False,"{'a': 0.01, 'e': 0.01984109474437029}",35,19,29.917663406004237,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.01, 'e': 0.019643672553065296}",25,20,11.822269774823118,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.01, 'e': 0.019448214745385394}",25,13,14.660205329102261,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.01, 'e': 0.019254701775386924}",20,16,7.5034739951799905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.01, 'e': 0.01906311429161164}",25,19,8.609951455074615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.01, 'e': 0.01887343313515149}",30,15,25.841193144834136,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.01, 'e': 0.018685639337732776}",25,13,22.383801724270395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.01, 'e': 0.018499714119819245}",30,18,21.52490463206132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.01, 'e': 0.018315638888734186}",20,10,16.342982140622546,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.01, 'e': 0.01813339523680108}",20,12,14.760662427024343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.01, 'e': 0.017952964939502852}",35,24,-22.180357058493005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.01, 'e': 0.017774329953659445}",20,15,12.743243908168175,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.01, 'e': 0.017597472415623396}",30,10,-4.599948730455085,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
405,False,"{'a': 0.01, 'e': 0.017422374639493518}",25,15,19.812111463543676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.01, 'e': 0.017249019115346268}",25,8,28.099753119229874,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.01, 'e': 0.0170773885074848}",20,16,7.8882290151710945,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.01, 'e': 0.016907465652705282}",20,10,17.438296039287813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.016739233558580636}",35,23,20.28173790179549,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.01, 'e': 0.016572675401761258}",30,16,23.799339762300868,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.01, 'e': 0.01640777452629265}",25,15,19.714660929802733,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.01, 'e': 0.016244514441949874}",25,7,28.06545219549877,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.01, 'e': 0.016082878822588437}",20,15,6.267149522949333,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.01, 'e': 0.0159228515045117}",35,21,27.73485875703434,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.01, 'e': 0.01576441648485449}",30,13,28.033093055070676,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.01, 'e': 0.015607557919982834}",30,24,14.793766626417767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.01, 'e': 0.015452260123909519}",20,4,25.556225982718576,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.01, 'e': 0.015298507566725522}",25,0,3.3659311429263905,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
419,False,"{'a': 0.01, 'e': 0.015146284873046981}",20,13,12.751625809128535,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.01, 'e': 0.014995576820477707}",20,11,16.691284496603252,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
